Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Region,Country,Sales Amount,Quantity,Unit Price,Discount,Profit,Cost,Shipping Cost,Payment Method,Invoice Status,Return Status,Shipping Date,Delivery Status
ORD0001,2024-07-13,bbaad422-47ab-49f3-abfe-9bfe5c153186,Sarah Francis,PRD6312,Laptop,Electronics,Laptop,South,Australia,5728.92,8,786.94,0.09,1219.85,4509.07,19.58,Net Banking,Unpaid,Returned,2024-07-23,In Transit
ORD0002,2022-08-21,d2aececf-c065-4c44-b046-74d293a7ee6a,Diane Ochoa,PRD8949,Spices,Groceries,Spices,East,UK,1907.89,8,277.31,0.14,747.5,1160.39,41.62,UPI,Pending,Not Returned,2022-08-25,Delivered
ORD0003,2024-09-15,ce4335b3-3f0e-4d9a-8179-e9b5a8316fe2,Mark Patterson,PRD4750,Headphones,Electronics,Headphones,South,Germany,38.45,1,45.23,0.15,14.27,24.18,16.12,Credit Card,Pending,Returned,2024-09-17,In Transit
ORD0004,2021-01-09,e350811d-f60c-4a7e-ab23-94cd0948b263,Amy Peterson,PRD4904,Puzzle,Toys,Puzzle,South,Australia,1615.03,2,841.16,0.04,634.37,980.66,12.41,UPI,Unpaid,Not Returned,2021-01-12,Delivered
ORD0005,2019-08-18,0e3993a8-0482-4222-9ee0-f6593ae802c6,Steven Moore,PRD8879,Spices,Groceries,Spices,North,India,1190.31,5,255.98,0.07,335.76,854.55,44.94,Cash on Delivery,Paid,Returned,2019-08-20,Delivered
ORD0006,2021-03-29,70104a29-0304-45e1-85ef-77344a2c2607,Derrick Mack,PRD3339,Action Figure,Toys,Action Figure,East,Australia,475.18,7,95.61,0.29,109.71,365.47,15.1,Cash on Delivery,Unpaid,Returned,2021-04-06,Delivered
ORD0007,2022-03-10,39a24175-6f35-43de-a838-dc26c10b61d8,Jeffery Rogers,PRD6138,Board Game,Toys,Board Game,South,USA,2334.96,6,423.0,0.08,599.33,1735.63,40.58,Net Banking,Unpaid,Returned,2022-03-18,Delayed
ORD0008,2022-09-19,edfa613d-d40e-4597-849c-567f50b64948,Brendan Sharp,PRD3408,Headphones,Electronics,Headphones,North,UK,784.28,8,140.05,0.3,202.02,582.26,30.36,UPI,Paid,Returned,2022-09-20,In Transit
ORD0009,2024-05-24,88b2f8b8-0d1a-448b-b7dc-6cbe701fda2b,Marissa Rogers,PRD6610,Headphones,Electronics,Headphones,East,India,5998.56,9,687.12,0.03,2339.16,3659.4,31.37,Net Banking,Paid,Returned,2024-05-26,Delayed
ORD0010,2023-11-12,12010084-55ec-4d53-8400-ff3f9c234301,Robert Hughes,PRD3046,Dress,Clothing,Dress,West,Germany,5376.92,9,603.47,0.01,1244.66,4132.26,45.44,Credit Card,Paid,Not Returned,2023-11-13,Delayed
ORD0011,2022-08-04,8bb74fc8-a0fa-4ea9-8118-e29461cff7db,Patricia Scott,PRD5490,Oil,Groceries,Oil,West,Germany,1202.13,7,209.43,0.18,167.68,1034.45,33.53,Net Banking,Pending,Returned,2022-08-11,Delayed
ORD0012,2021-11-24,7fb2daf1-8e93-4dd0-adc2-845989ba01a8,Rachel Rodriguez DDS,PRD6571,Sofa,Furniture,Sofa,East,USA,7576.24,9,925.06,0.09,2504.88,5071.36,36.03,UPI,Pending,Returned,2021-12-02,Delayed
